日期,無風險利率,市場報酬率,2357收盤價,2382收盤價,2417收盤價,2357實際報酬率,2382實際報酬率,2417實際報酬率,2357超常報酬率,2382超常報酬率,2417超常報酬率
2022-06-21,0.01935,0.0235,332.0,80.599998,22.799999,0.0375,0.02154620984673738,0.05555550925925917,0.015503160247696164,-0.0007918848362183338,0.032004036750548887
2022-06-22,0.01925,-0.0242,321.5,79.400002,21.85,-0.03162650602409638,-0.014888288210627484,-0.04166662463450101,-0.023164412713830948,-0.002853296891488756,-0.016927713669811346
2022-06-23,0.01925,-0.0112,325.0,80.0,21.6,0.01088646967340591,0.007556649683711587,-0.011441647597254004,0.011057257735490662,0.010231344405639647,0.00013602418352390115
2022-06-24,0.01925,0.0084,326.0,80.400002,22.299999,0.003076923076923077,0.005000025000000008,0.032407361111111026,-0.009253026004403045,-0.006437727455404934,0.024141933814606602
2022-06-27,0.01925,0.016,328.5,80.800003,23.15,0.007668711656441718,0.004975136692160818,0.0381166384805667,-0.00950846203151311,-0.011934789158536517,0.022156948276544637
2022-06-28,0.01895,-0.0069999999999999,326.0,80.900002,23.25,-0.0076103500761035,0.0012376113401876586,0.00431965442764585,-0.010009629215312125,0.0009722033938504187,0.011641512644761898
2022-06-29,0.01835,-0.0129,324.0,80.099998,22.549999,-0.006134969325153374,-0.009888800744405436,-0.03010756989247313,-0.004553947093949813,-0.005738087770341335,-0.01681997570037758
2022-06-30,0.01835,-0.0272,310.5,79.800003,21.450001,-0.041666666666666664,-0.003745256023601843,-0.04878040127629271,-0.030965208662464352,0.010701783207393989,-0.021015443981894238
2022-07-01,0.01815,-0.0326,309.5,79.300003,19.700001,-0.00322061191626409,-0.006265663924849727,-0.08158507778158146,0.01099736818721049,0.012125493945030378,-0.048355624813618284
2022-07-04,0.01805,-0.0088,301.5,79.199997,19.6,-0.025848142164781908,-0.0012611096622531979,-0.005076192635726206,-0.026773407863731807,2.1502925062677567e-05,0.004056828294122293
2022-07-05,0.01805,0.0093,304.5,79.5,20.299999,0.009950248756218905,0.003787916810148412,0.03571423469387746,-0.002519065019044097,-0.00796188355711364,0.026522761067664213
