指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比,特殊處理註記,日期
發行量加權股價指數,"9,554.14",-,173.27,-0.0178,,2019-01-02
發行量加權股價指數,"9,492.42",-,61.72,-0.006500000000000001,,2019-01-03
發行量加權股價指數,"9,382.51",-,109.91,-0.0116,,2019-01-04
發行量加權股價指數,"9,590.30",+,207.79,0.0221,,2019-01-07
發行量加權股價指數,"9,563.60",-,26.7,-0.0028000000000000004,,2019-01-08
發行量加權股價指數,"9,738.31",+,174.71,0.0183,,2019-01-09
發行量加權股價指數,"9,720.69",-,17.62,-0.0018,,2019-01-10
發行量加權股價指數,"9,759.40",+,38.71,0.004,,2019-01-11
發行量加權股價指數,"9,708.22",-,51.18,-0.005200000000000001,,2019-01-14
發行量加權股價指數,"9,806.04",+,97.82,0.0101,,2019-01-15
發行量加權股價指數,"9,763.81",-,42.23,-0.0043,,2019-01-16
發行量加權股價指數,"9,789.15",+,25.34,0.0026000000000000003,,2019-01-17
發行量加權股價指數,"9,836.06",+,46.91,0.0048,,2019-01-18
發行量加權股價指數,"9,889.40",+,53.34,0.0054,,2019-01-21
發行量加權股價指數,"9,894.66",+,5.26,0.0005,,2019-01-22
發行量加權股價指數,"9,846.40",-,48.26,-0.0049,,2019-01-23
發行量加權股價指數,"9,877.12",+,30.72,0.0031,,2019-01-24
發行量加權股價指數,"9,969.61",+,92.49,0.0094,,2019-01-25
發行量加權股價指數,"10,013.33",+,43.72,0.0044,,2019-01-28
發行量加權股價指數,"9,931.59",-,81.74,-0.008199999999999999,,2019-01-29
發行量加權股價指數,"9,932.26",+,0.67,0.0001,,2019-01-30
發行量加權股價指數,"10,004.25",+,71.99,0.0072,,2019-02-11
發行量加權股價指數,"10,097.74",+,93.49,0.009300000000000001,,2019-02-12
發行量加權股價指數,"10,090.58",-,7.16,-0.0007000000000000001,,2019-02-13
發行量加權股價指數,"10,089.01",-,1.57,-0.0002,,2019-02-14
發行量加權股價指數,"10,064.78",-,24.23,-0.0024,,2019-02-15
發行量加權股價指數,"10,145.28",+,80.5,0.008,,2019-02-18
發行量加權股價指數,"10,152.26",+,6.98,0.0007000000000000001,,2019-02-19
發行量加權股價指數,"10,272.46",+,120.2,0.0118,,2019-02-20
發行量加權股價指數,"10,319.53",+,47.07,0.0046,,2019-02-21
發行量加權股價指數,"10,322.92",+,3.39,0.0003,,2019-02-22
發行量加權股價指數,"10,390.93",+,68.01,0.006600000000000001,,2019-02-25
發行量加權股價指數,"10,391.55",+,0.62,0.0001,,2019-02-26
發行量加權股價指數,"10,389.17",-,2.38,-0.0002,,2019-02-27
發行量加權股價指數,"10,349.88",-,39.29,-0.0038,,2019-03-04
發行量加權股價指數,"10,305.26",-,44.62,-0.0043,,2019-03-05
發行量加權股價指數,"10,357.15",+,51.89,0.005,,2019-03-06
發行量加權股價指數,"10,311.68",-,45.47,-0.0044,,2019-03-07
發行量加權股價指數,"10,241.75",-,69.93,-0.0068000000000000005,,2019-03-08
發行量加權股價指數,"10,250.28",+,8.53,0.0008,,2019-03-11
發行量加權股價指數,"10,343.33",+,93.05,0.0091,,2019-03-12
發行量加權股價指數,"10,373.32",+,29.99,0.0029,,2019-03-13
發行量加權股價指數,"10,348.65",-,24.67,-0.0024,,2019-03-14
發行量加權股價指數,"10,439.24",+,90.59,0.0088,,2019-03-15
發行量加權股價指數,"10,512.70",+,73.46,0.006999999999999999,,2019-03-18
發行量加權股價指數,"10,512.32",-,0.38,0.0,,2019-03-19
發行量加權股價指數,"10,551.56",+,39.24,0.0037,,2019-03-20
發行量加權股價指數,"10,609.55",+,57.99,0.0055000000000000005,,2019-03-21
發行量加權股價指數,"10,639.07",+,29.52,0.0028000000000000004,,2019-03-22
發行量加權股價指數,"10,479.48",-,159.59,-0.015,,2019-03-25
發行量加權股價指數,"10,559.20",+,79.72,0.0076,,2019-03-26
發行量加權股價指數,"10,542.70",-,16.5,-0.0016,,2019-03-27
發行量加權股價指數,"10,536.26",-,6.44,-0.0006,,2019-03-28
發行量加權股價指數,"10,641.04",+,104.78,0.0099,,2019-03-29
發行量加權股價指數,"10,642.63",+,1.59,0.0001,,2019-04-01
發行量加權股價指數,"10,690.30",+,47.67,0.0045000000000000005,,2019-04-02
發行量加權股價指數,"10,704.38",+,14.08,0.0013000000000000002,,2019-04-03
發行量加權股價指數,"10,800.57",+,96.19,0.009000000000000001,,2019-04-08
發行量加權股價指數,"10,851.60",+,51.03,0.0047,,2019-04-09
發行量加權股價指數,"10,868.14",+,16.54,0.0015,,2019-04-10
發行量加權股價指數,"10,808.77",-,59.37,-0.0055000000000000005,,2019-04-11
發行量加權股價指數,"10,805.30",-,3.47,-0.0003,,2019-04-12
發行量加權股價指數,"10,875.60",+,70.3,0.006500000000000001,,2019-04-15
發行量加權股價指數,"10,927.85",+,52.25,0.0048,,2019-04-16
發行量加權股價指數,"10,997.26",+,69.41,0.0064,,2019-04-17
發行量加權股價指數,"10,962.02",-,35.24,-0.0032,,2019-04-18
發行量加權股價指數,"10,968.50",+,6.48,0.0006,,2019-04-19
發行量加權股價指數,"10,987.71",+,19.21,0.0018,,2019-04-22
發行量加權股價指數,"11,025.68",+,37.97,0.0034999999999999996,,2019-04-23
發行量加權股價指數,"11,027.64",+,1.96,0.0002,,2019-04-24
發行量加權股價指數,"11,039.86",+,12.22,0.0011,,2019-04-25
發行量加權股價指數,"10,952.47",-,87.39,-0.0079,,2019-04-26
加權股價指數,"10,939.06",-,13.41,-0.0012,,2019-04-29
發行量加權股價指數,"10,967.73",+,28.67,0.0026000000000000003,,2019-04-30
發行量加權股價指數,"11,004.49",+,36.76,0.0034000000000000002,,2019-05-02
發行量加權股價指數,"11,096.30",+,91.81,0.0083,,2019-05-03
發行量加權股價指數,"10,897.12",-,199.18,-0.018000000000000002,,2019-05-06
發行量加權股價指數,"10,987.14",+,90.02,0.0083,,2019-05-07
發行量加權股價指數,"10,923.71",-,63.43,-0.0058,,2019-05-08
發行量加權股價指數,"10,733.67",-,190.04,-0.0174,,2019-05-09
發行量加權股價指數,"10,712.99",-,20.68,-0.0019,,2019-05-10
發行量加權股價指數,"10,558.29",-,154.7,-0.0144,,2019-05-13
發行量加權股價指數,"10,519.25",-,39.04,-0.0037,,2019-05-14
發行量加權股價指數,"10,560.71",+,41.46,0.0039000000000000003,,2019-05-15
發行量加權股價指數,"10,474.61",-,86.1,-0.008199999999999999,,2019-05-16
發行量加權股價指數,"10,384.11",-,90.5,-0.0086,,2019-05-17
發行量加權股價指數,"10,398.41",+,14.3,0.0014000000000000002,,2019-05-20
發行量加權股價指數,"10,464.50",+,66.09,0.0064,,2019-05-21
發行量加權股價指數,"10,457.22",-,7.28,-0.0007000000000000001,,2019-05-22
發行量加權股價指數,"10,308.37",-,148.85,-0.014199999999999999,,2019-05-23
發行量加權股價指數,"10,328.28",+,19.91,0.0019,,2019-05-24
發行量加權股價指數,"10,334.13",+,5.85,0.0006,,2019-05-27
發行量加權股價指數,"10,312.31",-,21.82,-0.0021,,2019-05-28
發行量加權股價指數,"10,301.78",-,10.53,-0.001,,2019-05-29
發行量加權股價指數,"10,382.99",+,81.21,0.0079,,2019-05-30
發行量加權股價指數,"10,498.49",+,115.5,0.0111,,2019-05-31
發行量加權股價指數,"10,429.12",-,70.95,-0.0068000000000000005,,2019-06-04
發行量加權股價指數,"10,461.62",+,32.5,0.0031,,2019-06-05
發行量加權股價指數,"10,409.20",-,52.42,-0.005,,2019-06-06
發行量加權股價指數,"10,566.47",+,157.27,0.0151,,2019-06-10
發行量加權股價指數,"10,607.76",+,41.29,0.0039000000000000003,,2019-06-11
發行量加權股價指數,"10,615.66",+,7.9,0.0007000000000000001,,2019-06-12
發行量加權股價指數,"10,561.01",-,54.65,-0.0051,,2019-06-13
發行量加權股價指數,"10,524.67",-,36.34,-0.0034000000000000002,,2019-06-14
發行量加權股價指數,"10,530.54",+,5.87,0.0006,,2019-06-17
發行量加權股價指數,"10,566.74",+,36.2,0.0034000000000000002,,2019-06-18
發行量加權股價指數,"10,775.34",+,208.6,0.0197,,2019-06-19
發行量加權股價指數,"10,785.01",+,9.67,0.0009,,2019-06-20
發行量加權股價指數,"10,803.77",+,18.76,0.0017000000000000001,,2019-06-21
發行量加權股價指數,"10,779.45",-,24.32,-0.0023,,2019-06-24
發行量加權股價指數,"10,706.72",-,72.73,-0.0067,,2019-06-25
發行量加權股價指數,"10,652.55",-,54.17,-0.0051,,2019-06-26
發行量加權股價指數,"10,773.90",+,121.35,0.011399999999999999,,2019-06-27
發行量加權股價指數,"10,730.83",-,43.07,-0.004,,2019-06-28
發行量加權股價指數,"10,895.46",+,164.63,0.015300000000000001,,2019-07-01
發行量加權股價指數,"10,865.12",-,30.34,-0.0028000000000000004,,2019-07-02
發行量加權股價指數,"10,743.77",-,121.35,-0.011200000000000002,,2019-07-03
發行量加權股價指數,"10,775.90",+,32.13,0.003,,2019-07-04
發行量加權股價指數,"10,785.73",+,9.83,0.0009,,2019-07-05
發行量加權股價指數,"10,751.22",-,34.51,-0.0032,,2019-07-08
發行量加權股價指數,"10,702.78",-,48.44,-0.0045000000000000005,,2019-07-09
發行量加權股價指數,"10,798.48",+,95.7,0.0089,,2019-07-10
發行量加權股價指數,"10,843.42",+,44.94,0.0042,,2019-07-11
發行量加權股價指數,"10,824.35",-,19.07,-0.0018,,2019-07-12
發行量加權股價指數,"10,876.43",+,52.08,0.0048,,2019-07-15
發行量加權股價指數,"10,886.05",+,9.62,0.0009,,2019-07-16
發行量加權股價指數,"10,828.48",-,57.57,-0.0053,,2019-07-17
發行量加權股價指數,"10,799.28",-,29.2,-0.0027,,2019-07-18
發行量加權股價指數,"10,873.19",+,73.91,0.0068000000000000005,,2019-07-19
發行量加權股價指數,"10,944.53",+,71.34,0.006600000000000001,,2019-07-22
發行量加權股價指數,"10,947.26",+,2.73,0.0002,,2019-07-23
發行量加權股價指數,"10,935.76",-,11.5,-0.0011,,2019-07-24
發行量加權股價指數,"10,941.41",+,5.65,0.0005,,2019-07-25
發行量加權股價指數,"10,891.98",-,49.43,-0.0045000000000000005,,2019-07-26
發行量加權股價指數,"10,885.73",-,6.25,-0.0006,,2019-07-29
發行量加權股價指數,"10,830.90",-,54.83,-0.005,,2019-07-30
發行量加權股價指數,"10,823.81",-,7.09,-0.0007000000000000001,,2019-07-31
發行量加權股價指數,"10,731.75",-,92.06,-0.0085,,2019-08-01
發行量加權股價指數,"10,549.04",-,182.71,-0.017,,2019-08-02
發行量加權股價指數,"10,423.41",-,125.63,-0.011899999999999999,,2019-08-05
發行量加權股價指數,"10,394.75",-,28.66,-0.0027,,2019-08-06
發行量加權股價指數,"10,386.18",-,8.57,-0.0008,,2019-08-07
發行量加權股價指數,"10,494.49",+,108.31,0.010400000000000001,,2019-08-08
發行量加權股價指數,"10,472.36",-,22.13,-0.0021,,2019-08-12
發行量加權股價指數,"10,362.66",-,109.7,-0.0105,,2019-08-13
發行量加權股價指數,"10,427.73",+,65.07,0.0063,,2019-08-14
發行量加權股價指數,"10,327.13",-,100.6,-0.0096,,2019-08-15
發行量加權股價指數,"10,420.89",+,93.76,0.0091,,2019-08-16
發行量加權股價指數,"10,488.75",+,67.86,0.006500000000000001,,2019-08-19
發行量加權股價指數,"10,522.50",+,33.75,0.0032,,2019-08-20
發行量加權股價指數,"10,525.80",+,3.3,0.0003,,2019-08-21
發行量加權股價指數,"10,529.78",+,3.98,0.0004,,2019-08-22
發行量加權股價指數,"10,538.11",+,8.33,0.0008,,2019-08-23
發行量加權股價指數,"10,354.57",-,183.54,-0.0174,,2019-08-26
發行量加權股價指數,"10,387.23",+,32.66,0.0032,,2019-08-27
發行量加權股價指數,"10,434.29",+,47.06,0.0045000000000000005,,2019-08-28
發行量加權股價指數,"10,462.43",+,28.14,0.0027,,2019-08-29
發行量加權股價指數,"10,618.05",+,155.62,0.0149,,2019-08-30
發行量加權股價指數,"10,558.21",-,76.64,-0.0072,,2019-09-03
發行量加權股價指數,"10,657.31",+,99.1,0.0094,,2019-09-04
發行量加權股價指數,"10,756.93",+,99.62,0.009300000000000001,,2019-09-05
發行量加權股價指數,"10,780.64",+,23.71,0.0022,,2019-09-06
發行量加權股價指數,"10,753.58",-,47.56,-0.0044,,2019-09-10
發行量加權股價指數,"10,790.35",+,36.77,0.0034000000000000002,,2019-09-11
發行量加權股價指數,"10,827.55",+,37.2,0.0034000000000000002,,2019-09-12
發行量加權股價指數,"10,898.13",+,70.58,0.006500000000000001,,2019-09-16
發行量加權股價指數,"10,874.50",-,23.63,-0.0022,,2019-09-17
發行量加權股價指數,"10,929.45",+,54.95,0.0051,,2019-09-18
發行量加權股價指數,"10,894.70",-,34.75,-0.0032,,2019-09-19
發行量加權股價指數,"10,929.69",+,34.99,0.0032,,2019-09-20
發行量加權股價指數,"10,919.02",-,10.67,-0.001,,2019-09-23
發行量加權股價指數,"10,918.01",-,1.01,-0.0001,,2019-09-24
發行量加權股價指數,"10,873.69",-,44.32,-0.0040999999999999995,,2019-09-25
發行量加權股價指數,"10,871.99",-,1.7,-0.0002,,2019-09-26
發行量加權股價指數,"10,829.68",-,42.31,-0.0039000000000000003,,2019-09-27
發行量加權股價指數,"10,967.65",+,137.97,0.012700000000000001,,2019-10-01
發行量加權股價指數,"10,947.88",-,19.77,-0.0018,,2019-10-02
發行量加權股價指數,"10,875.91",-,71.97,-0.006600000000000001,,2019-10-03
發行量加權股價指數,"10,894.48",+,18.57,0.0017000000000000001,,2019-10-04
發行量加權股價指數,"10,935.06",+,40.58,0.0037,,2019-10-07
發行量加權股價指數,"11,017.31",+,82.25,0.0075,,2019-10-08
發行量加權股價指數,"10,889.96",-,127.35,-0.0116,,2019-10-09
發行量加權股價指數,"11,066.95",+,176.99,0.0163,,2019-10-14
發行量加權股價指數,"11,111.80",+,44.85,0.0040999999999999995,,2019-10-15
發行量加權股價指數,"11,162.83",+,51.03,0.0046,,2019-10-16
發行量加權股價指數,"11,186.88",+,24.05,0.0022,,2019-10-17
發行量加權股價指數,"11,271.25",+,87.1,0.0078000000000000005,,2019-10-22
發行量加權股價指數,"11,239.67",-,31.58,-0.0028000000000000004,,2019-10-23
發行量加權股價指數,"11,320.14",+,80.47,0.0072,,2019-10-24
發行量加權股價指數,"11,296.12",-,24.02,-0.0021,,2019-10-25
發行量加權股價指數,"11,315.02",+,18.9,0.0017000000000000001,,2019-10-28
發行量加權股價指數,"11,333.87",+,18.85,0.0017000000000000001,,2019-10-29
發行量加權股價指數,"11,380.28",+,46.41,0.0040999999999999995,,2019-10-30
發行量加權股價指數,"11,358.71",-,21.57,-0.0019,,2019-10-31
發行量加權股價指數,"11,579.54",-,27.02,-0.0023,,2019-11-08
發行量加權股價指數,"11,427.28",-,152.26,-0.0131,,2019-11-11
發行量加權股價指數,"11,520.37",+,93.09,0.008100000000000001,,2019-11-12
發行量加權股價指數,"11,467.83",-,52.54,-0.0046,,2019-11-13
發行量加權股價指數,"11,450.42",-,17.41,-0.0015,,2019-11-14
發行量加權股價指數,"11,525.60",+,75.18,0.006600000000000001,,2019-11-15
發行量加權股價指數,"11,599.78",+,74.18,0.0064,,2019-11-18
發行量加權股價指數,"11,656.40",+,56.62,0.0049,,2019-11-19
發行量加權股價指數,"11,631.20",-,25.2,-0.0022,,2019-11-20
發行量加權股價指數,"11,558.27",-,72.93,-0.0063,,2019-11-21
發行量加權股價指數,"11,566.80",+,8.53,0.0007000000000000001,,2019-11-22
發行量加權股價指數,"11,561.58",-,5.22,-0.0005,,2019-11-25
發行量加權股價指數,"11,576.82",+,15.24,0.0013000000000000002,,2019-11-26
發行量加權股價指數,"11,647.46",+,70.64,0.0061,,2019-11-27
發行量加權股價指數,"11,617.08",-,30.38,-0.0026000000000000003,,2019-11-28
發行量加權股價指數,"11,489.57",-,127.51,-0.011000000000000001,,2019-11-29
發行量加權股價指數,"11,502.83",+,13.26,0.0012,,2019-12-02
發行量加權股價指數,"11,531.58",+,28.75,0.0025,,2019-12-03
發行量加權股價指數,"11,510.47",-,21.11,-0.0018,,2019-12-04
發行量加權股價指數,"11,594.65",+,84.18,0.0073,,2019-12-05
發行量加權股價指數,"11,609.64",+,14.99,0.0013000000000000002,,2019-12-06
發行量加權股價指數,"11,660.77",+,51.13,0.0044,,2019-12-09
發行量加權股價指數,"11,627.84",-,32.93,-0.0028000000000000004,,2019-12-10
發行量加權股價指數,"11,700.77",+,72.93,0.0063,,2019-12-11
發行量加權股價指數,"11,836.42",+,135.65,0.0116,,2019-12-12
發行量加權股價指數,"11,927.73",+,91.31,0.0077,,2019-12-13
發行量加權股價指數,"11,939.77",+,12.04,0.001,,2019-12-16
發行量加權股價指數,"12,097.01",+,157.24,0.013200000000000002,,2019-12-17
發行量加權股價指數,"12,122.45",+,25.44,0.0021,,2019-12-18
發行量加權股價指數,"12,018.90",-,103.55,-0.0085,,2019-12-19
發行量加權股價指數,"11,959.08",-,59.82,-0.005,,2019-12-20
發行量加權股價指數,"12,022.23",+,63.15,0.0053,,2019-12-23
發行量加權股價指數,"11,976.38",-,45.85,-0.0038,,2019-12-24
發行量加權股價指數,"12,008.13",+,31.75,0.0027,,2019-12-25
發行量加權股價指數,"12,001.01",-,7.12,-0.0006,,2019-12-26
發行量加權股價指數,"12,091.59",+,90.58,0.0075,,2019-12-27
發行量加權股價指數,"12,053.37",-,38.22,-0.0032,,2019-12-30
發行量加權股價指數,"11,997.14",-,56.23,-0.0047,,2019-12-31
發行量加權股價指數,"12,100.48",+,103.34,0.0086,,2020-01-02
發行量加權股價指數,"12,110.43",+,9.95,0.0008,,2020-01-03
發行量加權股價指數,"11,953.36",-,157.07,-0.013000000000000001,,2020-01-06
發行量加權股價指數,"11,880.32",-,73.04,-0.0061,,2020-01-07
發行量加權股價指數,"11,817.10",-,63.22,-0.0053,,2020-01-08
發行量加權股價指數,"11,970.63",+,153.53,0.013000000000000001,,2020-01-09
發行量加權股價指數,"12,024.65",+,54.02,0.0045000000000000005,,2020-01-10
發行量加權股價指數,"12,113.42",+,88.77,0.0074,,2020-01-13
發行量加權股價指數,"12,179.81",+,66.39,0.0055000000000000005,,2020-01-14
發行量加權股價指數,"12,091.88",-,87.93,-0.0072,,2020-01-15
發行量加權股價指數,"12,066.93",-,24.95,-0.0021,,2020-01-16
發行量加權股價指數,"12,090.29",+,23.36,0.0019,,2020-01-17
發行量加權股價指數,"12,118.71",+,28.42,0.0024,,2020-01-20
發行量加權股價指數,"11,421.74",-,696.97,-0.0575,,2020-01-30
發行量加權股價指數,"11,495.10",+,73.36,0.0064,,2020-01-31
發行量加權股價指數,"11,354.92",-,140.18,-0.0122,,2020-02-03
發行量加權股價指數,"11,555.92",+,201.0,0.0177,,2020-02-04
發行量加權股價指數,"11,573.62",+,17.7,0.0015,,2020-02-05
發行量加權股價指數,"11,749.68",+,176.06,0.0152,,2020-02-06
發行量加權股價指數,"11,612.81",-,136.87,-0.0116,,2020-02-07
發行量加權股價指數,"11,574.07",-,38.74,-0.0033000000000000004,,2020-02-10
發行量加權股價指數,"11,664.04",+,89.97,0.0078000000000000005,,2020-02-11
發行量加權股價指數,"11,774.19",+,110.15,0.0094,,2020-02-12
發行量加權股價指數,"11,791.78",+,17.59,0.0015,,2020-02-13
發行量加權股價指數,"11,815.70",+,23.92,0.002,,2020-02-14
發行量加權股價指數,"11,763.51",-,52.19,-0.0044,,2020-02-17
發行量加權股價指數,"11,648.98",-,114.53,-0.0097,,2020-02-18
發行量加權股價指數,"11,758.84",+,109.86,0.0094,,2020-02-19
發行量加權股價指數,"11,725.09",-,33.75,-0.0029,,2020-02-20
發行量加權股價指數,"11,686.35",-,38.74,-0.0033000000000000004,,2020-02-21
發行量加權股價指數,"11,534.87",-,151.48,-0.013000000000000001,,2020-02-24
發行量加權股價指數,"11,540.23",+,5.36,0.0005,,2020-02-25
發行量加權股價指數,"11,433.62",-,106.61,-0.0092,,2020-02-26
發行量加權股價指數,"11,292.17",-,141.45,-0.0124,,2020-02-27
發行量加權股價指數,"11,170.46",-,121.71,-0.0108,,2020-03-02
發行量加權股價指數,"11,327.72",+,157.26,0.0141,,2020-03-03
發行量加權股價指數,"11,392.35",+,64.63,0.005699999999999999,,2020-03-04
發行量加權股價指數,"11,514.82",+,122.47,0.0108,,2020-03-05
發行量加權股價指數,"11,321.81",-,193.01,-0.0168,,2020-03-06
發行量加權股價指數,"10,977.64",-,344.17,-0.0304,,2020-03-09
發行量加權股價指數,"11,003.54",+,25.9,0.0024,,2020-03-10
發行量加權股價指數,"10,893.75",-,109.79,-0.01,,2020-03-11
發行量加權股價指數,"10,422.32",-,471.43,-0.0433,,2020-03-12
發行量加權股價指數,"10,128.87",-,293.45,-0.0282,,2020-03-13
發行量加權股價指數,"9,717.77",-,411.1,-0.0406,,2020-03-16
發行量加權股價指數,"9,439.63",-,278.14,-0.0286,,2020-03-17
發行量加權股價指數,"9,218.67",-,220.96,-0.0234,,2020-03-18
發行量加權股價指數,"8,681.34",-,537.33,-0.058300000000000005,,2020-03-19
發行量加權股價指數,"9,234.09",+,552.75,0.0637,,2020-03-20
發行量加權股價指數,"8,890.03",-,344.06,-0.0373,,2020-03-23
發行量加權股價指數,"9,285.62",+,395.59,0.044500000000000005,,2020-03-24
發行量加權股價指數,"9,644.75",+,359.13,0.038700000000000005,,2020-03-25
發行量加權股價指數,"9,736.36",+,91.61,0.0095,,2020-03-26
發行量加權股價指數,"9,698.92",-,37.44,-0.0038,,2020-03-27
發行量加權股價指數,"9,629.43",-,69.49,-0.0072,,2020-03-30
發行量加權股價指數,"9,708.06",+,78.63,0.008199999999999999,,2020-03-31
發行量加權股價指數,"9,663.63",-,44.43,-0.0046,,2020-04-01
發行量加權股價指數,"9,818.74",+,155.11,0.0161,,2020-04-06
發行量加權股價指數,"9,996.39",+,177.65,0.0181,,2020-04-07
發行量加權股價指數,"10,137.47",+,141.08,0.0141,,2020-04-08
發行量加權股價指數,"10,119.43",-,18.04,-0.0018,,2020-04-09
發行量加權股價指數,"10,157.61",+,38.18,0.0038,,2020-04-10
發行量加權股價指數,"10,099.22",-,58.39,-0.005699999999999999,,2020-04-13
發行量加權股價指數,"10,332.94",+,233.72,0.023100000000000002,,2020-04-14
發行量加權股價指數,"10,447.21",+,114.27,0.0111,,2020-04-15
發行量加權股價指數,"10,375.48",-,71.73,-0.0069,,2020-04-16
發行量加權股價指數,"10,597.04",+,221.56,0.021400000000000002,,2020-04-17
發行量加權股價指數,"10,288.42",-,298.29,-0.0282,,2020-04-21
發行量加權股價指數,"10,307.74",+,19.32,0.0019,,2020-04-22
發行量加權股價指數,"10,366.51",+,58.77,0.005699999999999999,,2020-04-23
發行量加權股價指數,"10,347.36",-,19.15,-0.0018,,2020-04-24
發行量加權股價指數,"10,567.27",+,219.91,0.0213,,2020-04-27
發行量加權股價指數,"10,616.06",+,48.79,0.0046,,2020-04-28
發行量加權股價指數,"10,772.22",+,156.16,0.0147,,2020-04-29
發行量加權股價指數,"10,992.14",+,219.92,0.0204,,2020-04-30
發行量加權股價指數,"10,720.48",-,271.66,-0.024700000000000003,,2020-05-04
發行量加權股價指數,"10,774.61",+,54.13,0.005,,2020-05-05
發行量加權股價指數,"10,774.98",+,0.37,0.0,,2020-05-06
發行量加權股價指數,"10,842.92",+,67.94,0.0063,,2020-05-07
發行量加權股價指數,"10,901.42",+,58.5,0.0054,,2020-05-08
發行量加權股價指數,"11,013.26",+,111.84,0.0103,,2020-05-11
發行量加權股價指數,"10,879.47",-,133.79,-0.0121,,2020-05-12
發行量加權股價指數,"10,938.27",+,58.8,0.0054,,2020-05-13
發行量加權股價指數,"10,780.88",-,157.39,-0.0144,,2020-05-14
發行量加權股價指數,"10,814.92",+,34.04,0.0032,,2020-05-15
發行量加權股價指數,"10,740.55",-,74.37,-0.0069,,2020-05-18
發行量加權股價指數,"10,860.44",+,119.89,0.011200000000000002,,2020-05-19
發行量加權股價指數,"10,907.80",+,47.36,0.0044,,2020-05-20
發行量加權股價指數,"11,008.31",+,100.51,0.0092,,2020-05-21
發行量加權股價指數,"10,811.15",-,197.16,-0.0179,,2020-05-22
發行量加權股價指數,"10,871.18",+,60.03,0.005600000000000001,,2020-05-25
發行量加權股價指數,"10,997.21",+,126.03,0.0116,,2020-05-26
發行量加權股價指數,"11,014.66",+,17.45,0.0016,,2020-05-27
發行量加權股價指數,"10,944.19",-,70.47,-0.0064,,2020-05-28
發行量加權股價指數,"10,942.16",-,2.03,-0.0002,,2020-05-29
發行量加權股價指數,"11,079.02",+,136.86,0.0125,,2020-06-01
發行量加權股價指數,"11,127.93",+,48.91,0.0044,,2020-06-02
發行量加權股價指數,"11,320.16",+,192.23,0.0173,,2020-06-03
發行量加權股價指數,"11,393.23",+,73.07,0.006500000000000001,,2020-06-04
發行量加權股價指數,"11,479.40",+,86.17,0.0076,,2020-06-05
發行量加權股價指數,"11,610.32",+,130.92,0.011399999999999999,,2020-06-08
發行量加權股價指數,"11,637.11",+,26.79,0.0023,,2020-06-09
發行量加權股價指數,"11,720.16",+,83.05,0.0070999999999999995,,2020-06-10
發行量加權股價指數,"11,535.77",-,184.39,-0.015700000000000002,,2020-06-11
發行量加權股價指數,"11,429.94",-,105.83,-0.0092,,2020-06-12
發行量加權股價指數,"11,306.26",-,123.68,-0.0108,,2020-06-15
發行量加權股價指數,"11,511.64",+,205.38,0.0182,,2020-06-16
發行量加權股價指數,"11,534.59",+,22.95,0.002,,2020-06-17
發行量加權股價指數,"11,548.33",+,13.74,0.0012,,2020-06-18
發行量加權股價指數,"11,549.86",+,1.53,0.0001,,2020-06-19
發行量加權股價指數,"11,572.93",+,23.07,0.002,,2020-06-22
發行量加權股價指數,"11,612.36",+,39.43,0.0034000000000000002,,2020-06-23
發行量加權股價指數,"11,660.67",+,48.31,0.0042,,2020-06-24
發行量加權股價指數,"11,542.62",-,118.05,-0.0101,,2020-06-29
發行量加權股價指數,"11,621.24",+,78.62,0.0068000000000000005,,2020-06-30
發行量加權股價指數,"11,703.42",+,82.18,0.0070999999999999995,,2020-07-01
發行量加權股價指數,"11,805.14",+,101.72,0.0087,,2020-07-02
發行量加權股價指數,"11,909.16",+,104.02,0.0088,,2020-07-03
發行量加權股價指數,"12,116.70",+,207.54,0.0174,,2020-07-06
發行量加權股價指數,"12,092.97",-,23.73,-0.002,,2020-07-07
發行量加權股價指數,"12,170.19",+,77.22,0.0064,,2020-07-08
發行量加權股價指數,"12,192.69",+,22.5,0.0018,,2020-07-09
發行量加權股價指數,"12,073.68",-,119.01,-0.0098,,2020-07-10
發行量加權股價指數,"12,211.56",+,137.88,0.011399999999999999,,2020-07-13
發行量加權股價指數,"12,209.01",-,2.55,-0.0002,,2020-07-14
發行量加權股價指數,"12,202.85",-,6.16,-0.0005,,2020-07-15
發行量加權股價指數,"12,157.74",-,45.11,-0.0037,,2020-07-16
發行量加權股價指數,"12,181.56",+,23.82,0.002,,2020-07-17
發行量加權股價指數,"12,174.54",-,7.02,-0.0006,,2020-07-20
發行量加權股價指數,"12,397.55",+,223.01,0.0183,,2020-07-21
發行量加權股價指數,"12,473.27",+,75.72,0.0061,,2020-07-22
發行量加權股價指數,"12,413.04",-,60.23,-0.0048,,2020-07-23
發行量加權股價指數,"12,304.04",-,109.0,-0.0088,,2020-07-24
發行量加權股價指數,"12,588.30",+,284.26,0.023100000000000002,,2020-07-27
發行量加權股價指數,"12,586.73",-,1.57,-0.0001,,2020-07-28
發行量加權股價指數,"12,540.97",-,45.76,-0.0036,,2020-07-29
發行量加權股價指數,"12,722.92",+,181.95,0.014499999999999999,,2020-07-30
發行量加權股價指數,"12,664.80",-,58.12,-0.0046,,2020-07-31
發行量加權股價指數,"12,513.03",-,151.77,-0.012,,2020-08-03
