日期,無風險利率
2020-11-05,0.485
2020-11-06,0.475
2020-11-09,0.49
2020-11-10,0.48
2020-11-11,0.485
2020-11-12,0.485
2020-11-13,0.485
2020-11-16,0.48
2020-11-17,0.47
2020-11-18,0.465
2020-11-19,0.46
2020-11-20,0.46
2020-11-23,0.45
2020-11-24,0.4
2020-11-25,0.4
2020-11-26,0.4
2020-11-27,0.37
2020-11-30,0.36
2020-12-01,0.36
2020-12-02,0.35
2020-12-03,0.39
2020-12-04,0.38
2020-12-07,0.395
2020-12-08,0.4
2020-12-09,0.405
2020-12-10,0.435
2020-12-11,0.42
2020-12-14,0.405
2020-12-15,0.38
2020-12-16,0.4
2020-12-17,0.4
2020-12-18,0.4
2020-12-21,0.39
2020-12-22,0.38
2020-12-23,0.375
2020-12-24,0.375
2020-12-25,0.4
2020-12-28,0.38
2020-12-29,0.39
2020-12-30,0.39
2020-12-31,0.38
2021-01-04,0.405
2021-01-05,0.385
2021-01-06,0.385
2021-01-07,0.43
2021-01-08,0.42
2021-01-11,0.405
2021-01-12,0.39
2021-01-13,0.4
2021-01-14,0.4
2021-01-15,0.41
2021-01-18,0.41
2021-01-19,0.41
2021-01-20,0.41
2021-01-21,0.405
2021-01-22,0.415
2021-01-25,0.415
2021-01-26,0.435
2021-01-27,0.445
2021-01-28,0.45
2021-01-29,0.445
2021-02-01,0.45
2021-02-02,0.445
2021-02-03,0.455
2021-02-04,0.455
2021-02-05,0.455
2021-02-08,0.455
2021-02-09,0.455
2021-02-10,0.455
2021-02-11,0.455
2021-02-12,0.455
2021-02-15,0.455
2021-02-16,0.455
2021-02-17,0.495
2021-02-18,0.51
2021-02-19,0.515
2021-02-22,0.679
2021-02-23,0.71
2021-02-24,0.76
2021-02-25,0.74
2021-02-26,0.735
2021-03-01,0.735
2021-03-02,0.75
2021-03-03,0.73
2021-03-04,0.755
2021-03-05,0.76
2021-03-08,0.76
2021-03-09,0.77
2021-03-10,0.77
2021-03-11,0.79
2021-03-12,0.82
2021-03-15,0.825
2021-03-16,0.82
2021-03-17,0.815
2021-03-18,0.83
2021-03-19,0.845
2021-03-22,0.83
2021-03-23,0.82
2021-03-24,0.82
2021-03-25,0.81
2021-03-26,0.805
2021-03-29,0.79
2021-03-30,0.77
2021-03-31,0.765
2021-04-01,0.76
2021-04-02,0.76
2021-04-05,0.76
2021-04-06,0.76
2021-04-07,0.76
2021-04-08,0.765
2021-04-09,0.765
2021-04-12,0.735
2021-04-13,0.735
2021-04-14,0.735
2021-04-15,0.735
2021-04-16,0.74
2021-04-19,0.745
2021-04-20,0.735
2021-04-21,0.73
2021-04-22,0.735
2021-04-23,0.735
2021-04-26,0.735
2021-04-27,0.735
2021-04-28,0.735
2021-04-29,0.735
2021-04-30,0.735
2021-05-03,0.73
2021-05-04,0.735
2021-05-05,0.735
2021-05-06,0.73
2021-05-07,0.735
2021-05-10,0.735
2021-05-11,0.735
2021-05-12,0.735
2021-05-13,0.735
2021-05-14,0.735
2021-05-17,0.735
2021-05-18,0.725
2021-05-19,0.735
2021-05-20,0.73
2021-05-21,0.715
2021-05-24,0.725
2021-05-25,0.73
2021-05-26,0.735
2021-05-27,0.73
2021-05-28,0.73
2021-05-31,0.73
2021-06-01,0.725
2021-06-02,0.725
2021-06-03,0.715
2021-06-04,0.71
2021-06-07,0.72
2021-06-08,0.715
2021-06-09,0.715
2021-06-10,0.72
2021-06-11,0.715
2021-06-14,0.715
2021-06-15,0.71
2021-06-16,0.73
2021-06-17,0.73
2021-06-18,0.73
2021-06-21,0.73
2021-06-22,0.725
2021-06-23,0.685
2021-06-24,0.69
2021-06-25,0.695
2021-06-28,0.69
2021-06-29,0.685
2021-06-30,0.68
2021-07-01,0.675
2021-07-02,0.675
2021-07-05,0.67
2021-07-06,0.665
2021-07-07,0.655
2021-07-08,0.65
2021-07-09,0.64
2021-07-12,0.64
2021-07-13,0.655
2021-07-14,0.66
2021-07-15,0.655
2021-07-16,0.655
2021-07-19,0.65
2021-07-20,0.64
2021-07-21,0.645
2021-07-22,0.645
2021-07-23,0.645
2021-07-26,0.645
2021-07-27,0.645
